hoja_vida_id,public
133742,0
133743,1
133747,1
133748,1
133749,1
133751,1
133752,1
133754,1
133755,0
133756,0
133757,0
133759,0
133760,1
133761,0
133762,1
133763,1
133764,1
133765,0
133769,1
133770,0
133771,0
133773,1
133774,1
133775,1
133776,1
133778,1
133779,0
133780,1
133781,0
133782,1
133783,0
133784,1
133785,0
133786,1
133788,0
133789,1
133790,1
133791,1
133792,1
133794,1
133795,1
133796,0
133797,0
133799,1
133800,1
133801,1
133802,1
133803,1
133804,1
133805,1
133806,1
133807,0
133808,1
133809,1
133810,0
133811,1
133812,1
133813,1
133815,1
133816,0
133817,1
133818,0
133819,1
133820,1
133821,1
133822,1
133823,0
133824,0
133825,1
133826,1
133828,1
133829,1
133831,1
133832,1
133833,1
133834,1
133835,1
133836,0
133837,1
133838,1
133840,1
133841,0
133842,0
133843,1
133844,1
133845,0
133846,0
133847,1
133848,1
133850,1
133851,1
133852,1
133853,1
133854,0
133855,1
133856,0
133857,1
133858,0
133861,1
133862,0
133863,0
133864,0
133865,0
133867,0
133869,1
133870,0
133871,0
133872,0
133873,1
133874,1
133875,1
133876,1
133877,0
133879,0
133880,0
133882,0
133883,1
133884,0
133885,0
133886,0
133888,0
133889,0
133890,1
133891,0
133892,1
133893,0
133894,0
133895,1
133896,1
133897,1
133899,1
133900,0
133901,1
133902,0
133903,1
133904,1
133905,1
133906,0
133907,1
133908,0
133909,0
133910,0
133911,1
133912,1
133913,1
133914,1
133915,0
133916,1
133917,1
133918,0
133920,0
133921,1
133923,1
133924,1
133926,1
133929,0
133931,0
133932,0
133933,1
133934,1
133936,1
133937,0
133939,1
133941,0
133942,1
133943,0
133945,1
133946,0
133948,1
133949,1
133950,1
133951,1
133953,1
133954,0
133955,1
133956,0
133957,1
133958,1
133959,0
133960,1
133963,0
133964,1
133965,0
133966,1
133967,1
133968,0
133969,1
133970,1
133971,0
133972,1
133973,1
133974,0
133975,1
133976,1
133977,1
133979,1
133980,0
133981,1
133982,1
133983,0
133984,0
133985,1
133986,1
133988,1
133989,1
133990,1
133991,0
133992,1
133993,1
133994,1
133995,1
133996,0
133997,1
