id,nombre,alias,plan_de_gobierno_url
4,ACCION POPULAR,Acción Popular,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16511.pdf
1257,ALIANZA PARA EL PROGRESO,Alianza para el Progreso,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16531.pdf
2173,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,Avanza País,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16535.pdf
2191,DEMOCRACIA DIRECTA,Democracia Directa,
2160,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",Frente Amplio,
2646,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,Frepap,
1366,FUERZA POPULAR,Fuerza Popular,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16490.pdf
1264,JUNTOS POR EL PERU,Juntos por el Perú,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16479.pdf
14,PARTIDO DEMOCRATICO SOMOS PERU,Somos Perú,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16494.pdf
2840,PARTIDO MORADO,Partido Morado,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16521.pdf
179,PARTIDO NACIONALISTA PERUANO,Partido Nacionalista,
2235,PARTIDO POLÍTICO CONTIGO,Partido Político Contigo,
2218,PARTIDO POLITICO NACIONAL PERU LIBRE,Perú Libre,
15,PARTIDO POPULAR CRISTIANO - PPC,Partido Popular Cristiano,
55,PERU PATRIA SEGURA,Perú Patria Segura,
2731,PODEMOS PERU,Podemos Perú,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16536.pdf
5,RENACIMIENTO UNIDO NACIONAL,Renacimiento Unido Nacional,
22,RENOVACION POPULAR,Renovación Popular,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16482.pdf
47,UNION POR EL PERU,Unión por el Perú,
21,VICTORIA NACIONAL,Victoria Nacional,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16517.pdf
